Date,Channel,Conversion Rate,Transactions,AOV,CPA
42404,Channel B,0.091544819,1313,60.41,15
42401,Channel C,0.070204493,936,64.96,8
42408,Channel D,0.153458382,1885,69.67,18
42408,Channel C,0.185907127,1653,66.36,7
42404,Channel D,0.129012517,1113,68.35,19
42408,Channel A,0.197716895,1663,65.62,4
42403,Channel D,0.133834759,1119,67.17,12
42408,Channel B,0.130732124,1028,64.23,18
42405,Channel D,0.130277518,1003,65.67,20
42402,Channel D,0.128627057,983,67.36,14
42401,Channel D,0.125740951,957,68.64,12
42404,Channel C,0.141044187,1030,65.4,5
42402,Channel C,0.125016803,893,63.06,9
42403,Channel C,0.158205942,1053,64.57,6
42405,Channel C,0.156234097,1032,63.46,9
42397,Channel D,0.121490599,692,69.35,14
42404,Channel A,0.197180677,1101,64.41,3
42396,Channel D,0.122334456,680,68.11,12
42398,Channel D,0.133171695,712,68.94,11
42395,Channel D,0.129192211,688,66,20
42401,Channel A,0.202450622,1063,64.39,6
42403,Channel A,0.202954399,1062,65.03,10
42402,Channel A,0.203630919,1044,66.49,10
42394,Channel D,0.124168725,627,56.26,12
42405,Channel A,0.210390127,1015,65.25,6
42406,Channel D,0.119503546,485,68.18,18
42388,Channel D,0.136445028,549,48.96,20
42407,Channel C,0.198390777,793,64.05,12
42407,Channel D,0.133269185,532,69.32,13
42390,Channel D,0.119262739,475,51.17,16
42395,Channel C,0.179968512,713,63.75,8
42389,Channel D,0.131052057,518,48.55,13
42397,Channel C,0.151743755,589,62.04,7
42405,Channel B,0.137960901,535,62.03,19
42391,Channel D,0.123478479,472,53.3,18
42395,Channel A,0.205567172,755,64.21,4
42383,Channel D,0.121152587,444,49.28,19
42397,Channel A,0.215637319,788,65,10
42382,Channel D,0.131726159,475,50.62,19
42389,Channel C,0.167976555,605,39.55,12
42396,Channel A,0.213712911,768,63.92,3
42396,Channel C,0.138968286,490,62.44,11
42380,Channel D,0.138493151,485,51.22,14
42381,Channel D,0.124912965,431,49.63,16
42373,Channel D,0.123496159,409,52.01,17
42376,Channel D,0.12839218,422,52.08,17
42375,Channel D,0.13076474,430,50.44,15
42398,Channel A,0.217913069,715,65.49,9
42398,Channel C,0.141114214,461,63.54,9
42387,Channel D,0.118046333,384,50.38,15
42374,Channel D,0.127707244,410,51.06,19
42384,Channel D,0.12905649,412,50.05,18
42406,Channel C,0.173283019,551,65.03,8
42394,Channel C,0.161290323,506,49.8,5
42394,Channel A,0.226775102,696,50.82,6
42377,Channel D,0.126961707,388,51.58,12
42400,Channel D,0.120988043,369,65.39,10
42390,Channel C,0.148886284,427,47.86,5
42399,Channel D,0.106386733,289,67.32,15
42407,Channel A,0.213187202,579,64.37,3
42406,Channel A,0.207079646,562,64.97,4
42389,Channel A,0.234179544,611,45.01,3
42388,Channel A,0.236211699,611,45.62,9
42390,Channel A,0.217136372,551,45.09,10
42406,Channel B,0.135609384,341,60.43,24
42380,Channel A,0.247130834,620,44.14,6
42382,Channel A,0.229965157,570,44.87,3
42375,Channel A,0.223299089,553,47.18,3
42373,Channel A,0.240365515,581,44.69,10
42388,Channel C,0.153256705,365,41.49,6
42381,Channel A,0.228825551,543,44.88,4
42374,Channel A,0.246256576,584,46.28,4
42383,Channel A,0.224564248,532,44.58,8
42383,Channel C,0.154521331,363,35.78,5
42376,Channel A,0.223067174,507,46.26,4
42387,Channel A,0.237470424,530,45.05,5
42400,Channel A,0.217552265,480,62.11,9
42391,Channel A,0.224319579,491,44.23,10
42384,Channel A,0.226533457,468,45.41,3
42375,Channel C,0.133110687,268,43.89,9
42393,Channel D,0.11411339,227,50.82,18
42387,Channel C,0.132541798,263,43.37,5
42376,Channel C,0.143175074,278,44.34,11
42377,Channel A,0.23938031,460,45.51,8
42392,Channel D,0.096659016,182,49.78,12
42399,Channel A,0.19917547,371,62.1,9
42391,Channel C,0.165983046,291,42.79,11
42385,Channel D,0.105234311,184,49.42,18
42399,Channel C,0.13554133,234,60.21,8
42400,Channel C,0.159696885,273,63.61,6
42386,Channel D,0.118928466,194,50.03,12
42378,Channel D,0.102848576,165,52.7,13
42385,Channel C,0.146458583,234,32.12,10
42407,Channel B,0.16953317,265,62.22,24
42379,Channel D,0.130743139,204,48.99,17
42373,Channel C,0.139534884,196,48.5,5
42372,Channel D,0.138859369,188,50.96,19
42371,Channel D,0.097969362,132,50.88,15
42382,Channel C,0.162013226,212,46.3,7
42380,Channel C,0.150700074,196,45.94,5
42393,Channel A,0.226697353,284,44.81,8
42378,Channel C,0.12024587,150,45.6,8
42403,Channel B,0.091967871,110,63.21,21
42402,Channel B,0.107531381,123,61.58,24
42372,Channel A,0.198053322,225,44.76,6
42385,Channel A,0.191634656,216,42.06,9
42386,Channel A,0.198272138,220,44.7,9
42379,Channel A,0.227055241,251,42.84,7
42392,Channel A,0.189165574,208,44.57,3
42393,Channel C,0.185876993,196,45.56,8
42386,Channel C,0.164370983,172,30.44,5
42378,Channel A,0.21223355,220,47.4,9
42392,Channel C,0.170159681,164,45.7,7
42370,Channel D,0.092809791,87,53.33,18
42371,Channel A,0.171413502,156,47.34,10
42371,Channel C,0.14399153,131,45.98,6
42370,Channel A,0.186522262,149,45.76,10
42384,Channel C,0.186706949,148,37.69,10
42377,Channel C,0.206483439,141,49.07,7
42374,Channel C,0.187736563,119,48.64,6
42401,Channel B,0.088940449,55,63.04,34
42379,Channel C,0.174350377,100,47.68,6
42381,Channel C,0.191919192,100,49.98,9
42372,Channel C,0.183114035,80,44.68,5
42395,Channel B,0.080701754,33,59.65,15
42370,Channel C,0.141442716,48,45.19,12
42396,Channel B,0.081538462,25,58.73,31
42397,Channel B,0.085578447,26,63.25,31
42400,Channel B,0.108499096,29,59.28,20
42398,Channel B,0.129032258,33,62.31,25
42394,Channel B,0.087719298,19,63.92,21
42399,Channel B,0.104513064,21,48.51,22
42387,Channel B,0.067532468,12,50.22,26
42388,Channel B,0.117647059,21,40.98,15
42383,Channel B,0.099722992,17,42.96,27
42389,Channel B,0.086350975,15,39.01,16
42382,Channel B,0.064788732,11,43.14,28
42390,Channel B,0.09375,16,38.36,23
42374,Channel B,0.036697248,6,40.86,31
42373,Channel B,0.027692308,4,44.7,18
42391,Channel B,0.071875,11,46.08,24
42375,Channel B,0.068965517,11,44.26,25
42393,Channel B,0.068965517,11,41.05,22
42381,Channel B,0.081761006,12,37.06,18
42380,Channel B,0.066246057,10,41.48,22
42392,Channel B,0.063694268,10,53.92,35
42384,Channel B,0.058823529,9,38.92,24
42376,Channel B,0.020979021,3,42.93,33
42386,Channel B,0.075268817,10,33.81,31
42385,Channel B,0.0625,8,36.99,35
42377,Channel B,0.075757576,10,34.56,28
42378,Channel B,0.081712062,10,37.26,23
42372,Channel B,0.015625,2,50.99,24
42379,Channel B,0.066115702,8,49.97,26
42371,Channel B,0.019138756,2,39.39,28
42370,Channel B,0.022346369,2,61.99,32
