Date,Channel,Sessions,Revenue,AOV,CPA
42735,Channel A,1377,19327,74.7,8
42735,Channel B,1161,8628,90.79,34
42735,Channel C,2409,15758,79.11,5
42735,Channel D,2563,15708,81,19
42734,Channel A,2416,37456,76.96,4
42734,Channel B,1640,14165,91.64,17
42734,Channel C,3258,27486,80.54,6
42734,Channel D,4199,35182,81.35,11
42733,Channel A,3035,48931,77.58,4
42733,Channel B,2222,23319,96.2,35
42733,Channel C,3618,25731,77.69,9
42733,Channel D,4848,43730,83.73,15
42732,Channel A,3012,49203,77.3,4
42732,Channel B,2307,26458,94.87,27
42732,Channel C,3842,29166,75.29,7
42732,Channel D,5012,45251,83.65,12
42731,Channel A,2873,52274,80.02,10
42731,Channel B,2287,26791,101.3,15
42731,Channel C,4382,28802,71.18,8
42731,Channel D,4762,46066,83.24,19
42730,Channel A,2038,28436,78.47,5
42730,Channel B,1428,15310,99.05,35
42730,Channel C,1244,9644,78.49,10
42730,Channel D,3158,27045,85.63,14
42729,Channel A,989,10100,74.88,7
42729,Channel B,586,4141,90.8,23
42729,Channel C,1042,3894,75.12,12
42729,Channel D,1835,10185,78.88,19
42728,Channel A,2007,27623,78.08,5
42728,Channel B,875,6926,87.98,22
42728,Channel C,3661,21925,82.01,10
42728,Channel D,4022,28437,83.21,13
42727,Channel A,4686,79974,83.98,6
42727,Channel B,1753,19865,83.61,31
42727,Channel C,11346,129405,86.55,9
42727,Channel D,7976,74880,87.15,12
42726,Channel A,6311,105722,83.94,10
42726,Channel B,2964,33460,85.32,17
42726,Channel C,15653,177467,87.51,11
42726,Channel D,9627,102397,87.5,18
42725,Channel A,9707,130620,81.65,5
42725,Channel B,3990,44238,86.46,33
42725,Channel C,17558,225117,83.44,7
42725,Channel D,9864,118258,84.55,11
42724,Channel A,7716,146182,81.26,5
42724,Channel B,3478,46075,86.95,15
42724,Channel C,19620,248220,82.75,8
42724,Channel D,9991,131053,87.37,13
42723,Channel A,7490,148612,80.21,4
42723,Channel B,3269,43689,87.69,17
42723,Channel C,21848,246126,80.65,5
42723,Channel D,10195,133072,82.56,17
42722,Channel A,4511,79707,80.22,9
42722,Channel B,1835,25805,85.2,17
42722,Channel C,19814,190373,80.4,10
42722,Channel D,5409,61655,85.52,14
42721,Channel A,4087,71673,81.42,7
42721,Channel B,2044,24254,90.23,18
42721,Channel C,20160,149528,81.36,7
42721,Channel D,5670,61928,89.47,17
42720,Channel A,5546,96291,82.55,4
42720,Channel B,3599,43391,90.85,27
42720,Channel C,19914,183404,80.04,6
42720,Channel D,8460,99840,86.06,16
42719,Channel A,5480,102224,84.11,5
42719,Channel B,8568,56996,85.06,21
42719,Channel C,37940,188451,81.93,8
42719,Channel D,9123,106693,85.46,11
42718,Channel A,5309,100019,82.65,6
42718,Channel B,5345,45974,87.95,34
42718,Channel C,17748,133164,79.97,8
42718,Channel D,8737,106433,86.99,14
42717,Channel A,5232,91756,81.87,9
42717,Channel B,3598,41607,92.02,17
42717,Channel C,11929,124258,81.43,6
42717,Channel D,8332,95678,85.15,18
42716,Channel A,5570,100743,82.15,8
42716,Channel B,4860,39357,88.83,21
