Date,Channel,Sessions,Transactions,AOV,CPA
12/31/2017,Channel A,1155,263,58.97,10
12/31/2017,Channel B,1311,108,72.06,27
12/31/2017,Channel C,1322,115,56.51,5
12/31/2017,Channel D,2320,198,63.71,14
12/30/2017,Channel A,1674,341,59.21,3
12/30/2017,Channel B,1688,145,68.88,15
12/30/2017,Channel C,2976,238,62.41,11
12/30/2017,Channel D,3150,249,66.16,15
12/29/2017,Channel A,2368,559,62.21,7
12/29/2017,Channel B,2383,268,71.74,15
12/29/2017,Channel C,2045,233,62.45,8
12/29/2017,Channel D,4657,475,66.77,17
12/28/2017,Channel A,2681,613,63.7,7
12/28/2017,Channel B,2827,337,74.88,24
12/28/2017,Channel C,4119,410,63.59,10
12/28/2017,Channel D,4990,545,66.82,17
12/27/2017,Channel A,2999,673,66.82,6
12/27/2017,Channel B,2997,367,75.22,16
12/27/2017,Channel C,3324,308,60.61,5
12/27/2017,Channel D,5058,518,68.8,10
12/26/2017,Channel A,2427,524,65.11,7
12/26/2017,Channel B,2269,263,77.42,21
12/26/2017,Channel C,3759,296,60.8,11
12/26/2017,Channel D,4343,459,68.5,12
12/25/2017,Channel A,1005,174,63.43,6
12/25/2017,Channel B,976,79,77.75,15
12/25/2017,Channel C,1350,75,64.36,8
12/25/2017,Channel D,2084,158,65.93,15
12/24/2017,Channel A,2000,319,62.78,6
12/24/2017,Channel B,1115,98,70.12,33
12/24/2017,Channel C,4023,251,65.59,6
12/24/2017,Channel D,3335,271,65.73,14
12/23/2017,Channel A,4053,701,62.34,10
12/23/2017,Channel B,1855,236,63.99,18
12/23/2017,Channel C,9948,980,66.07,7
12/23/2017,Channel D,5872,543,66.95,20
12/22/2017,Channel A,5631,1214,66.46,5
12/22/2017,Channel B,2961,432,66.54,19
12/22/2017,Channel C,14833,1921,67.13,9
12/22/2017,Channel D,9106,1076,69.41,10
12/21/2017,Channel A,6899,1625,66.54,7
12/21/2017,Channel B,4138,654,69.24,25
12/21/2017,Channel C,19106,2460,65.42,12
12/21/2017,Channel D,10252,1383,70.82,11
12/20/2017,Channel A,7763,1911,67.26,4
12/20/2017,Channel B,4791,781,69.6,27
12/20/2017,Channel C,19904,2512,65.26,5
12/20/2017,Channel D,10533,1542,69.73,18
12/19/2017,Channel A,8292,1958,66.54,7
12/19/2017,Channel B,4819,791,68.87,25
12/19/2017,Channel C,23181,2893,66.05,5
12/19/2017,Channel D,10490,1573,69.82,18
12/18/2017,Channel A,7989,2024,64.26,8
12/18/2017,Channel B,5169,938,69.61,34
12/18/2017,Channel C,21165,2806,65.08,10
12/18/2017,Channel D,10592,1611,69.44,19
12/17/2017,Channel A,4799,1153,64.16,8
12/17/2017,Channel B,3206,547,66.21,33
12/17/2017,Channel C,16556,2018,66.73,8
12/17/2017,Channel D,5744,802,69.24,15
12/16/2017,Channel A,4102,1015,64.58,7
12/16/2017,Channel B,3766,616,65.45,29
12/16/2017,Channel C,15610,1676,64.95,9
12/16/2017,Channel D,5862,661,67.75,17
12/15/2017,Channel A,5523,1366,65.56,5
12/15/2017,Channel B,9557,1007,68.13,30
12/15/2017,Channel C,21234,2220,64.45,12
12/15/2017,Channel D,8436,1149,69.32,17
12/14/2017,Channel A,5721,1390,67.13,3
12/14/2017,Channel B,5081,685,71.3,17
12/14/2017,Channel C,31868,1747,67.53,11
12/14/2017,Channel D,8837,1159,69.5,19
12/13/2017,Channel A,6703,1515,67.79,8
12/13/2017,Channel B,5951,756,73.19,33
12/13/2017,Channel C,13960,1505,66.5,7
12/13/2017,Channel D,8946,1179,70.15,12
12/12/2017,Channel A,6396,1416,66.23,5
12/12/2017,Channel B,8856,875,68.54,22
12/12/2017,Channel C,11531,1266,65.75,6
12/12/2017,Channel D,8850,1193,68.77,18
12/11/2017,Channel A,5459,1392,65.84,6
12/11/2017,Channel B,4779,691,68.95,28
12/11/2017,Channel C,14497,1613,63.45,10
12/11/2017,Channel D,8741,1184,68.46,19
12/10/2017,Channel A,3323,767,64.81,10
12/10/2017,Channel B,3350,396,68.87,24
12/10/2017,Channel C,10727,1120,66.61,6
12/10/2017,Channel D,4805,600,67.29,16
12/9/2017,Channel A,2893,628,67.09,7
12/9/2017,Channel B,3855,412,70.05,34
12/9/2017,Channel C,12215,1143,64.43,9
12/9/2017,Channel D,4687,511,68.22,11
12/8/2017,Channel A,4097,960,66.14,6
12/8/2017,Channel B,7330,631,72.17,30
